"court","name_last","name_first","sex","term_begin_date","term_end_date","birth_date","death_date","term_begin_year","term_end_year","birth_year","death_year","term_begin_age","term_end_age","death_age","wikidata","gnd","comment","version","doi_concept","doi_version"
"BVerwG","Rennert","Klaus","M",2014-07-01,2021-06-30,1955-09-24,NA,2014,2021,1955,NA,58,65,NA,"Q1745601","1025101707",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","VACANCY-6","VACANCY-6",NA,2021-07-01,2022-09-07,NA,NA,2021,2022,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerwG","Korbmacher","Andreas","M",2022-09-08,NA,1960-01-12,NA,2022,NA,1960,NA,62,NA,NA,"Q498933","1125482664",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Weinkauff","Hermann","M",1950-10-01,1960-03-31,1894-02-10,1981-07-09,1950,1960,1894,1981,56,66,87,"Q1258089","118911295",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Heusinger","Bruno","M",1960-04-01,1968-03-31,1900-03-02,1987-08-03,1960,1968,1900,1987,60,68,87,"Q993336","118704362",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Fischer","Robert","M",1968-04-01,1977-09-30,1911-08-22,1983-03-04,1968,1977,1911,1983,56,66,71,"Q2157092","118533460",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Pfeiffer","Gerd","M",1977-10-01,1987-12-31,1919-12-22,2007-02-01,1977,1987,1919,2007,57,68,87,"Q1510730","118830562",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Odersky","Walter","M",1988-01-01,1996-07-31,1931-07-17,NA,1988,1996,1931,NA,56,65,NA,"Q2545684","115521879",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Geiss","Karlmann","M",1996-08-01,2000-05-31,1935-05-31,NA,1996,2000,1935,NA,61,65,NA,"Q1733865","115521828",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","VACANCY-1","VACANCY-1",NA,2000-06-01,2000-07-14,NA,NA,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Hirsch","Günter","M",2000-07-15,2008-01-31,1943-01-30,NA,2000,2008,1943,NA,57,65,NA,"Q896430","122296737",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Tolksdorf","Klaus","M",2008-02-01,2014-01-31,1948-11-14,NA,2008,2014,1948,NA,59,65,NA,"Q97653","1012794377",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","VACANCY-2","VACANCY-2",NA,2014-02-01,2014-06-30,NA,NA,2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BGH","Limperg","Bettina","F",2014-07-01,NA,1960-04-05,NA,2014,NA,1960,NA,54,NA,NA,"Q14540749","1069423513",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Weiss","Ulrich","M",1961-07-01,1966-11-30,NA,NA,1961,1966,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","VACANCY-1","VACANCY-1",NA,1966-12-01,1967-06-18,NA,NA,1966,1967,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Jungbluth","Werner","M",1967-06-19,1971-05-31,NA,NA,1967,1971,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","VACANCY-2","VACANCY-2",NA,1971-06-01,1971-07-17,NA,NA,1971,1971,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Neumar","Rudolf","M",1971-07-18,1972-04-15,NA,NA,1971,1972,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","VACANCY-3","VACANCY-3",NA,1972-04-16,1972-10-17,NA,NA,1972,1972,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Pakuscher","Ernst Karl","M",1972-10-18,1986-08-31,NA,NA,1972,1986,NA,NA,NA,NA,NA,"","","Tag des Amtsendes unklar - vorläuf 31.08. eingetragen",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Steup","Elisabeth","F",1986-09-01,1992-05-13,NA,NA,1986,1992,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","VACANCY-4","VACANCY-4",NA,1992-05-14,1992-05-31,NA,NA,1992,1992,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Sedemund-Treiber","Antje","F",1992-06-01,2001-03-31,NA,NA,1992,2001,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","VACANCY-5","VACANCY-5",NA,2001-04-01,2001-06-30,NA,NA,2001,2001,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Landfermann","Hans-Georg","M",2001-07-01,2006-04-28,NA,NA,2001,2006,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","VACANCY-6","VACANCY-6",NA,2006-04-29,2006-05-01,NA,NA,2006,2006,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Lutz","Raimund","M",2006-05-02,2010-12-31,NA,NA,2006,2010,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","VACANCY-7","VACANCY-7",NA,2011-01-01,2011-04-30,NA,NA,2011,2011,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Schmidt","Beate","F",2011-05-01,2021-04-30,NA,NA,2011,2021,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BPatG","Hock","Regina","F",2021-05-01,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,"","","",2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
